Year,Month,DayOfWeek,TotalIncidents
2017,12,Friday,1342
2017,12,Saturday,1195
2018,1,Sunday,875
2018,1,Monday,1299
2018,1,Tuesday,1278
2018,1,Wednesday,1281
2018,1,Thursday,973
2018,1,Friday,1071
2018,1,Saturday,1005
2018,2,Sunday,818
2018,2,Monday,1011
2018,2,Tuesday,1011
2018,2,Wednesday,1029
2018,2,Thursday,1057
2018,2,Friday,1026
2018,2,Saturday,985
2018,3,Sunday,887
2018,3,Monday,989
2018,3,Tuesday,1032
2018,3,Wednesday,1019
2018,3,Thursday,1243
2018,3,Friday,1374
2018,3,Saturday,1224
2018,4,Sunday,1140
2018,4,Monday,1254
2018,4,Tuesday,1061
2018,4,Wednesday,1100
2018,4,Thursday,1128
2018,4,Friday,1117
2018,4,Saturday,1116
2018,5,Sunday,996
2018,5,Monday,1100
2018,5,Tuesday,1471
2018,5,Wednesday,1518
2018,5,Thursday,1470
2018,5,Friday,1251
2018,5,Saturday,1100
2018,6,Sunday,989
2018,6,Monday,1248
2018,6,Tuesday,1204
2018,6,Wednesday,1214
2018,6,Thursday,1229
2018,6,Friday,1543
2018,6,Saturday,1407
2018,7,Sunday,1245
2018,7,Monday,1391
2018,7,Tuesday,1416
2018,7,Wednesday,1125
2018,7,Thursday,1159
2018,7,Friday,1110
2018,7,Saturday,1092
2018,8,Sunday,955
2018,8,Monday,1066
2018,8,Tuesday,1074
2018,8,Wednesday,1352
2018,8,Thursday,1406
2018,8,Friday,1455
2018,8,Saturday,1029
2018,9,Sunday,227
2018,9,Monday,176
2018,9,Saturday,264
